,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
BLDR_vol_21,-0.03189594449063551,-0.10740437050385343,0.014979428147114587,0.07465451352539304,-0.035402482565781865,0.005142293459085694,-0.1444874861280086,-0.04215486654126023,0.11049739466802953,0.09000272867393884,-0.004656372373935606,-0.03478015434763672,-0.03557561842061423,-0.03173249183652067,0.09435666287965605
BRO_vol_21,0.004066395400931625,-0.01610766940601196,-0.015163465153757718,0.005660786810615519,0.00022868114808342584,0.01815546607903868,0.03387758735136768,0.0009744362816058637,-0.031479254313234784,-0.00907623188978311,-0.021166127022511923,0.009911715212702328,0.01736719062262998,-0.010354283469068415,-0.020630186214199216
BSX_vol_21,-0.045062241528894646,-0.03177996505629867,0.005176634706200477,-0.016725739956171524,0.026651199734887592,-0.019792608207511855,-0.05103472888421012,0.01155169681285325,0.039344474220970684,0.026304782912120305,-0.002842483450909519,-0.018478520712472492,0.03736396659366693,-0.020251313059553088,-0.033368127627943056
BWA_vol_21,0.0019345713267890634,0.007366834174463997,0.020819819008748592,0.05429975722158449,0.006686079133865336,-0.026573583699908875,0.021312316694125956,0.03440564599680659,0.04344311017700579,-0.018922827009811388,0.014259577007170678,-0.016530924064138152,0.023691991554116765,0.03127777555663741,-0.06276978610980596
C_vol_21,0.008029946203880065,-0.06328600080815801,0.048570191677512996,0.046187230991742725,0.01029106327730823,-0.04218818184375517,0.01259695015863284,-0.09150387813164851,-0.04836750872306714,-0.03272106533312298,-0.0348554672301355,0.004952264124225581,0.04017180012312122,0.046954429371727786,-0.026314967642286816
CAT_vol_21,-0.0020281533167931364,0.008441583146240871,0.0038148754056533027,0.05449572202223543,0.02175975038351503,-0.010711615382762338,0.007752404616646652,0.0012885315976634806,-0.009071621921524033,0.031364572610135255,-0.006824439351363847,-0.02665721468224612,-0.021880311403755355,0.06424403552010853,-0.027907303546066506
CCL_vol_21,0.1975514728842431,-0.0040008651249212835,0.05235595782304686,-0.08496456192580938,0.03544918057814223,0.08826151196375483,-0.01947613004915252,-0.02311113130657295,-0.04021107712777872,-0.116270368819919,-0.05203100714638169,0.058072704062356706,0.023888323958136417,0.08276374598609855,-0.008186385882545343
CE_vol_21,0.013821269372755188,-0.049499425909334406,-0.014579913843696382,0.07330814972311807,-0.007947445650796015,0.00906108529501122,0.006761171609548722,-0.067482899861889,-0.016495733076841483,-0.02061800299166162,-0.008402476086480181,0.0006101505534491389,-0.03758508443289831,0.08123682552902135,-0.019236744647790207
CLX_vol_21,0.009401331103298063,0.03127478730781374,-0.028083927064033384,-0.007000929595835944,0.00558257128078543,0.0076638070117194005,-0.018522408937096963,0.054228079835532246,0.008158060444285806,0.05323958135907245,-0.005572767561712142,-0.026985136436276147,-0.015428034521083952,-0.02880161189970887,-0.010399641670695715
CMCSA_vol_21,-0.008169034619421327,0.01743831112110458,-0.02685989674725446,-0.018810577666593015,-0.0004793549131865904,-0.027451069382970195,0.013890539105501353,0.010523529398187794,-0.0005725611975084118,0.07387358909099316,-0.00778530198229317,-0.00265696953537165,-0.0010897005631277502,0.048733447814934404,-0.04001594097166939
CME_vol_21,-0.020418246377450957,-0.023744032023368694,0.014462266029683679,-0.0021701386459368863,-0.003350255948634232,-0.020881977905496892,-0.009851123300494853,-0.018567338554005018,0.00552741837934027,0.00020509646784570414,-0.022249133022047077,-0.01267005796602251,0.01954232884051925,0.0003142828905293761,-0.025039716188955084
COF_vol_21,0.05288937272463555,-0.014839413943990826,0.04144069745918819,0.017492299134812556,0.017610633067973436,-0.0007993159718389555,0.026702745141880115,-0.016375868023282298,-0.06115588776197084,-0.01780490250922193,-0.037829433286176085,0.02798477341086076,-0.040297667237234346,0.03637900538071409,-0.019192905686064268
CRM_vol_21,-0.009888807502084561,-0.04843342050271181,-0.047623136768254005,-0.02398938635923556,0.01659952161287863,0.07102715166864156,-0.08739698217240248,0.03504471907109908,0.04783682146098843,-0.05906444728939953,0.0685647416994279,0.10031206862073816,-0.030894478703594432,-0.003940683604670858,0.07884547406637915
CSCO_vol_21,-0.028160245332859473,-0.014697310000429587,-0.0151297786049036,0.010618089571712978,0.03405461307909203,-0.01715670031217415,-0.00390761352023672,-0.024565332783646584,0.021815012955921094,0.019146981702393526,0.012857303623974537,0.018939143307371547,-0.019527795269959347,-0.020178570847479184,-0.02115245123002188
CSGP_vol_21,-0.01088248746656673,-0.0018801833816194627,-0.024027667516082298,-0.02930905203265127,0.007120056402344208,0.043090909773027666,-0.02256175062883678,0.02599134007799862,0.037790269306643344,-0.014833510283778084,0.011661181832740083,0.020318162388095123,0.056717645965892426,-0.05282628103223271,0.004062856197700959
CVX_vol_21,0.020129612473664432,0.010316052205597828,0.04632204191319134,-0.008703178993056383,0.0011729830530230235,0.032008042274804985,0.002564745235878817,-0.03063034833710449,0.017043720103280223,0.029854668982392755,-0.01939868915220534,0.00630847190344821,0.0035853467023376742,0.04416267432807449,-0.0033021003247537986
DE_vol_21,0.01056960337547385,0.018820677393762753,0.008071903077794816,0.04497825461526406,0.0343601677159144,-0.022473568946841212,0.017178170591089524,0.021170368841373716,0.04514418831370693,-0.004473237187315754,0.01025024036495793,0.021047108057710852,-0.04271763727064578,0.018171811261540327,-0.03255770065320752
DELL_vol_21,0.03477041333487716,0.04463266298411389,-0.08740662010837041,0.07202679232332485,-0.024171260364943603,-0.0315375326352633,-0.04047493487218596,-0.0971646995966917,0.08978726984133692,-0.1387978270968924,0.05262726026304672,0.1555825358451372,0.03607622379869008,-0.0009016902039856623,0.11515134464481552
DFS_vol_21,0.0721466169035426,-0.014296183741651116,0.025654833401619063,-0.017952425371289556,-0.010189541781093782,-0.028956361225253385,-0.013196539699432352,-0.04984397716185728,-0.028033420495150122,0.004201727241292766,-0.024278775022306208,0.013816550962548047,-0.03132786873436499,0.02251061169052405,-0.05531803180622932
DG_vol_21,-0.021872168029579274,0.02941758632128478,-0.07562262110038463,0.04563662813342745,-0.13481101633213358,-0.034630392870457286,-0.048097824700420955,0.05091291896508108,0.05924499102085996,-0.17815150690681125,0.013160411360310854,0.08995652624747365,-0.11455509058839095,-0.06832737779694113,-0.026752566518704828
DHI_vol_21,-0.008375668910320341,-0.04506749037401074,-0.025314815313484,-0.06531637701734817,-0.007715685831471147,0.0008566021574886565,-0.004124477059767739,-0.010344654578208646,0.005104770458890202,0.03038032538575116,0.03085305302638291,0.06217825235954721,0.039417366682040586,-0.011382928528343033,0.014514965884023467
DIS_vol_21,0.030297069203299345,-0.0013302844818253393,-0.013871899960760364,-0.02478690727014923,0.0006741004691092065,0.013386967447901372,0.011721136055450625,-0.003545061052754479,0.007862435934465704,0.029089965583524065,-0.004406682453141848,-0.03990849976145528,0.033300656864235854,-0.02051061855804608,0.02261484429079757
