,UMAP1,UMAP2
2012-03-19,-0.29772013,13.607743
2012-03-20,-0.3049817,13.6004715
2012-03-21,-0.24978349,13.610752
2012-03-22,-0.29740685,13.585944
2012-03-23,0.20867413,13.551478
2012-03-26,0.18011393,13.548937
2012-03-27,0.15999217,13.546104
2012-03-28,0.2015209,13.550294
2012-03-29,0.16910052,13.546786
2012-03-30,0.16863723,13.552262
2012-04-02,0.16075474,13.536824
2012-04-03,0.117185965,13.548913
2012-04-04,0.057923716,13.57514
2012-04-05,0.055875834,13.567408
2012-04-09,0.12109028,13.507169
2012-04-10,0.008245095,13.5418215
2012-04-11,0.021963203,13.540298
2012-04-12,0.09367571,13.5435095
2012-04-13,0.12820682,13.510643
2012-04-16,0.0565781,13.53914
2012-04-17,-0.27371213,13.465705
2012-04-18,-0.29764083,13.482593
2012-04-19,-0.3039334,13.481155
2012-04-20,-0.29964185,13.4813595
2012-04-23,-0.35151008,13.4491415
2012-04-24,-0.3289086,13.440633
2012-04-25,-0.3142322,13.4647045
2012-04-26,-0.31480858,13.426785
2012-04-27,-0.34336612,13.488881
2012-04-30,-0.3794464,13.457046
2012-05-01,-0.40292704,13.522311
2012-05-02,-0.39651912,13.539093
2012-05-03,-0.3934269,13.539302
2012-05-04,-0.39457273,13.53975
2012-05-07,-4.174697,16.186352
2012-05-08,-4.1957626,16.207197
2012-05-09,-4.2231245,16.233479
2012-05-10,-4.2327495,16.23926
2012-05-11,-4.2470036,16.25161
2012-05-14,-4.204932,16.21533
2012-05-15,-4.2848635,16.286255
2012-05-16,-4.2814636,16.28165
2012-05-17,-4.128138,16.151495
2012-05-18,-4.177208,16.192446
2012-05-21,-4.1534834,16.169022
2012-05-22,-4.178146,16.189842
2012-05-23,-4.188244,16.199709
2012-05-24,-4.1796484,16.192825
2012-05-25,-4.1878185,16.19889
2012-05-29,-4.186791,16.195755
2012-05-30,-4.17704,16.17867
2012-05-31,-4.1710796,16.184906
2012-06-01,-4.1138887,16.135242
2012-06-04,-4.081835,16.1094
2012-06-05,-4.0813413,16.11236
2012-06-06,-3.8193152,15.916155
2012-06-07,-3.8370059,15.932288
2012-06-08,-3.8154755,15.911432
2012-06-11,-3.7972379,15.896681
2012-06-12,-3.765406,15.892817
2012-06-13,-3.7706835,15.876254
2012-06-14,-3.776632,15.880874
2012-06-15,-3.7732854,15.87785
2012-06-18,-3.7668579,15.870957
2012-06-19,-3.7938726,15.8927765
2012-06-20,-3.7866888,15.887665
2012-06-21,-3.8095737,15.907215
2012-06-22,-3.7910035,15.894609
2012-06-25,-3.76722,15.870633
2012-06-26,-3.759048,15.865115
2012-06-27,-3.7787094,15.881622
2012-06-28,-3.7770185,15.885065
2012-06-29,-3.806179,15.90696
2012-07-02,-3.7617047,15.866782
2012-07-03,-3.7960963,15.896556
2012-07-05,-3.8179598,15.914886
2012-07-06,-4.448967,16.419868
2012-07-09,-4.4465017,16.417786
2012-07-10,-4.4352827,16.404203
2012-07-11,-4.444456,16.416252
2012-07-12,-4.5418158,16.499063
2012-07-13,-4.503404,16.466879
2012-07-16,-4.5271773,16.48625
2012-07-17,-4.5343285,16.492735
2012-07-18,-4.556448,16.513758
2012-07-19,-4.519746,16.476292
2012-07-20,-4.5415316,16.49763
2012-07-23,-4.5903325,16.543272
2012-07-24,-4.5500593,16.506174
2012-07-25,-4.6639347,16.612423
2012-07-26,-4.667259,16.615234
2012-07-27,-4.6815214,16.629248
2012-07-30,-4.6984525,16.645977
2012-07-31,-4.7061567,16.651968
2012-08-01,-4.6848693,16.63234
2012-08-02,-4.674526,16.615395
2012-08-03,-4.669705,16.614813
2012-08-06,-4.6356835,16.578506
2012-08-07,-4.6921363,16.616703
2012-08-08,-5.4203944,12.227218
2012-08-09,-5.4506116,12.199556
2012-08-10,-5.417879,12.230316
2012-08-13,-5.422625,12.227886
2012-08-14,-5.3934627,12.252745
2012-08-15,-5.4115973,12.237146
2012-08-16,-5.4374537,12.211037
2012-08-17,-5.5345426,12.10643
2012-08-20,-5.591863,12.04694
2012-08-21,-5.586378,12.055258
2012-08-22,-5.6774426,11.969505
2012-08-23,-6.0511017,11.992483
2012-08-24,-6.103996,11.992985
2012-08-27,-6.12453,12.001532
2012-08-28,-6.1456747,12.005801
2012-08-29,-6.1377826,12.005457
2012-08-30,-6.1514363,12.002207
2012-08-31,-6.135618,12.001807
2012-09-04,-6.1222816,11.998382
2012-09-05,-6.1044316,11.979512
2012-09-06,-6.0984406,11.989882
2012-09-07,-5.566919,12.083165
2012-09-10,-5.587055,12.05291
2012-09-11,-5.5789557,12.058888
2012-09-12,-5.5622673,12.076114
2012-09-13,-5.5651503,12.076117
2012-09-14,-5.539767,12.102033
2012-09-17,-5.560556,12.076408
2012-09-18,-5.5575786,12.072486
2012-09-19,-5.5318785,12.1108675
2012-09-20,-5.621395,12.032826
2012-09-21,-5.652691,11.984645
2012-09-24,-5.692033,11.914091
2012-09-25,-5.651645,11.977754
2012-09-26,-5.635295,11.990632
2012-09-27,-5.5601125,12.077967
2012-09-28,-5.696189,11.926154
2012-10-01,-5.7440653,11.8822975
2012-10-02,-5.7709794,11.820967
2012-10-03,-5.767102,11.852176
2012-10-04,-5.727503,11.88958
