,regime
1970-01-01 00:00:00.841800600,3
1970-01-01 00:00:00.841887000,3
1970-01-01 00:00:00.841973400,3
1970-01-01 00:00:00.842232600,3
1970-01-01 00:00:00.842319000,3
1970-01-01 00:00:00.842405400,3
1970-01-01 00:00:00.842491800,3
1970-01-01 00:00:00.842578200,3
1970-01-01 00:00:00.842837400,3
1970-01-01 00:00:00.842923800,3
1970-01-01 00:00:00.843010200,3
1970-01-01 00:00:00.843096600,3
1970-01-01 00:00:00.881631000,1
1970-01-01 00:00:00.881717400,1
1970-01-01 00:00:00.881803800,1
1970-01-01 00:00:00.881890200,1
1970-01-01 00:00:00.882149400,1
1970-01-01 00:00:00.882235800,1
1970-01-01 00:00:00.882322200,1
1970-01-01 00:00:00.882408600,1
1970-01-01 00:00:00.882495000,1
1970-01-01 00:00:00.882754200,1
1970-01-01 00:00:00.882840600,1
1970-01-01 00:00:00.882927000,1
1970-01-01 00:00:00.883013400,1
1970-01-01 00:00:00.883099800,1
1970-01-01 00:00:00.883359000,1
1970-01-01 00:00:00.883445400,1
1970-01-01 00:00:00.883531800,1
1970-01-01 00:00:00.883963800,1
1970-01-01 00:00:00.884050200,1
1970-01-01 00:00:00.884136600,1
1970-01-01 00:00:00.884223000,1
1970-01-01 00:00:00.884309400,1
1970-01-01 00:00:00.884568600,1
1970-01-01 00:00:00.884655000,1
1970-01-01 00:00:00.884741400,1
1970-01-01 00:00:00.884827800,1
1970-01-01 00:00:00.884914200,1
1970-01-01 00:00:00.885173400,1
1970-01-01 00:00:00.885259800,1
1970-01-01 00:00:00.885346200,1
1970-01-01 00:00:00.885432600,1
1970-01-01 00:00:00.885519000,1
1970-01-01 00:00:00.886987800,1
1970-01-01 00:00:00.887074200,1
1970-01-01 00:00:00.887160600,1
1970-01-01 00:00:00.887247000,1
1970-01-01 00:00:00.887333400,1
1970-01-01 00:00:00.887592600,1
1970-01-01 00:00:00.887679000,1
1970-01-01 00:00:00.887765400,1
1970-01-01 00:00:00.887851800,1
1970-01-01 00:00:00.887938200,1
1970-01-01 00:00:00.888197400,1
1970-01-01 00:00:00.888283800,1
1970-01-01 00:00:00.888370200,1
1970-01-01 00:00:00.888456600,1
1970-01-01 00:00:00.888543000,1
1970-01-01 00:00:00.888802200,1
1970-01-01 00:00:00.888888600,1
1970-01-01 00:00:00.888975000,1
1970-01-01 00:00:00.889061400,1
1970-01-01 00:00:00.889147800,1
1970-01-01 00:00:00.889407000,1
1970-01-01 00:00:00.889493400,1
1970-01-01 00:00:00.889579800,1
1970-01-01 00:00:00.889666200,1
1970-01-01 00:00:00.889752600,1
1970-01-01 00:00:00.890011800,1
1970-01-01 00:00:00.890098200,1
1970-01-01 00:00:00.890184600,1
1970-01-01 00:00:00.890271000,1
1970-01-01 00:00:00.890357400,1
1970-01-01 00:00:00.890616600,1
1970-01-01 00:00:00.890703000,1
1970-01-01 00:00:00.890789400,1
1970-01-01 00:00:00.890875800,1
1970-01-01 00:00:00.890962200,1
1970-01-01 00:00:00.891221400,1
1970-01-01 00:00:00.891307800,1
1970-01-01 00:00:00.891394200,1
1970-01-01 00:00:00.891480600,1
1970-01-01 00:00:00.891567000,1
1970-01-01 00:00:00.891826200,1
1970-01-01 00:00:00.891912600,1
1970-01-01 00:00:00.891999000,1
1970-01-01 00:00:00.892085400,1
1970-01-01 00:00:00.892171800,1
1970-01-01 00:00:00.892431000,1
1970-01-01 00:00:00.892517400,1
1970-01-01 00:00:00.892603800,1
1970-01-01 00:00:00.892690200,1
1970-01-01 00:00:00.892776600,1
1970-01-01 00:00:00.893035800,1
1970-01-01 00:00:00.893122200,1
1970-01-01 00:00:00.893208600,1
1970-01-01 00:00:00.893295000,1
1970-01-01 00:00:00.893381400,1
1970-01-01 00:00:00.893640600,1
1970-01-01 00:00:00.893727000,1
1970-01-01 00:00:00.893813400,1
1970-01-01 00:00:00.893899800,1
1970-01-01 00:00:00.894245400,1
1970-01-01 00:00:00.894331800,1
1970-01-01 00:00:00.894418200,1
1970-01-01 00:00:00.894504600,1
1970-01-01 00:00:00.894591000,1
1970-01-01 00:00:00.894850200,1
1970-01-01 00:00:00.894936600,1
1970-01-01 00:00:00.895023000,1
1970-01-01 00:00:00.895109400,1
1970-01-01 00:00:00.895195800,1
1970-01-01 00:00:00.895455000,1
1970-01-01 00:00:00.895541400,1
